codigo,especificacao_da_receita,receita_orcada,realizada_no_mes,pct_realizada_mes_sobre_o_orcado,realizada_ate_o_mes
24720207,Convênio n.º 828118/2003 - FNDE/MEC - Curso de Alfabetização  de Jovens e Adultos,0,0,0,0.00
24720208,Centro Municipal de Educação Tecnológica - Convênio MEC/CEFET-SP,0,0,0,0
24710401,PMSP/SVMA-Parque Natural Municipal da Cratera de Colonia/Convênio FURNAS,0,0,0,0
24710500,TRANSFERÊNCIAS DE CONVÊNIO DA UNIÃO DESTINADAS A PROGRAMAS DE INFRA-ESTRUTURA EM TRANSPORTE,213342600,0,0,0
24710501,Convenio de Transportes - FUNCOR,104659100,0.00,0,0
24710502,Convênio Jacú - Pêssego,100000000,0.00,0,0
24710503,Terminal de Cargas Fernão Dias/MT-DNIT/SP-MG,8.683.500.00,0.00,0,0
24719900,OUTRAS TRANSFERÊNCIAS DE CONVÊNIO DA UNIÃO,11415800,0.00,0,20000.00
24719901,Convênio Secretaria Nacional de Segurança Pública - SENAS n.º 165/01,0,0,0,0
24719903,Convênio Ministério de Integração Nacional,0.00,0.00,0,0
24719905,Programa de Modernização do Sistema de Controle Extemo dos  Estados e Municípios Brasileiros - Pronoex/MP/BlD,1500000,0,0,0
24719907,Convênio Secretaria Nacional de Seguranga Pública - SEMSP,2289200,0,0,0
24719908,Programa Rede Solidária de Restaurantes Pupulares -PMSP/SEMA/MDS,0,0,0.00,0.00
24719909,Programa Banco Municipal de Alimentos - PMSP/SEMA/MDS,0,0,0,0
24719910,PmSP/SDTS - Plansine - FAT,0,0,0,20000
24719911,Convênios MINC/SMC,4500000,0,0,0
24719912,Convênio SEME - UNIÃO,2700000,0,0,0
24719913,Convênio SEPED - UNIÃO,0.00,0.00,0.00,0
24719914,Convênio SVMA - UNIÃO,0,0,0,0
24719915,Convênio PMSP/SEPP x UNIÃO,0,0,0.00,0
24719916,Convênio MET/SPPE/CODEFAT,325500,0,0,0.00
24719917,Projeto Casa Brasil/CNPq -SP-MB,101100,0,0,0.00
24720000,TRANSFERÊNCIA DE CONVÊNIOS DOS ESTADOS E DO DISTRITO FEDERAL E DE SUAS ENTIDADES,276921000,0,0.00,14030552.94
24720500,TRANSFERÊNCIAS DE CONVÊNIOS DOS ESTADOS DESTINADAS A PROGRAMAS DE INFRA-ESTRUTURA EM TRANSPORTE,51000000,0,0,0
24720501,Convênio de Transportes - FUNCOR,51000000,0.00,0,0
24720502,Convênio Jacú - Pêssego,0,0.00,0,0.00
24729900,OUTRAS TRANSFERÊNCIAS DE CONVÊNIOS DOS ESTADOS,225921000,0,0,14.030.552.94
24729901,Convênio SEPED - Estado,0,0.00,0,0.00
24729902,Convênio SIURB - Estado,0,0.00,0,0
24729903,Convênio City Jaraguá,2000000,0.00,0,2007306.18
24729904,Convênio SSP/SP - SGM/CSU,3500000,0,0.00,0
24729905,Convênio CDHU xSEMB,219921000,0,0,12023246.76
24729906,Convênio SEME - Estado,500000,0,0,0
24730000,TRANSFERÊNCIAS DE CONVÊNIOS DOS MUNICÍPIOS E DE SUAS ENTIDADES,75000,0,0,0
24739900,OUTRAS TRASNSFERÊNCIAS DE CONVÊNIOS DOS MUNICÍPIOS,75000,0.00,0.00,0
24739901,Terminal de Cargas Fernão Dias / Prefeitura de Guarulhos / SP - MG,75000,0,0.00,0
24750000,TRANSFERÊNCIA DE CONVÊNIOD DO EXTERIOR,3049500,49288.82,1.62,49288.82
24750100,Convênio SMADS - União Européia,0,0,0,0.00
24750200,Convênio SEME - Exterior,3000000,0,0,0
24750300,Programa URB-AL,800,0,0,0
24750400,Convênio SEPP - Exterior,48700,0,0,0
24750500,Convênio SMT - Exterior,0,49288.62,0,49288.82
25000000,OUTRAS RECEITAS DE CAPITAL,271062600,5405721.3,1.99,75495478.81
25600000,RESTITUIÇÕES,0,0,0,0
25600100,RESTITUIÇÕES DEVERÇAS,0,0,0,0
25900000,OUTRAS RECEITAS,271062600,5405721.3,1.99,75495478.81
25900100,RECEITAS DIVERSAS,271062600,5405721.3,1.99,75495478.81
25900101,PMSP,0,0.00,0,0
25900102,F U M C A D,9014200,0,0,0
25900103,F U M D E S,0,0,0.00,0
25900104,Operação Urbana Faria Lima,0.00,0,0.00,0
25900106,Operação Urbana Anhangabaú,0,0,0,0
25900107,Programa de Urbanização e Veticalização em Favelas - Prover - Cingapura,350000,0,0,0.00
25900108,Fundo Especial Operação Urbana Àgua Branca - FEAB,0,0,0,0
25900109,Programa de Recuperação Urbana e Saneamento Ambiental da Bacia do Guarapiranga,72000,0,0,0
25900110,Reassentamento de Familias - Programa PROCAV ll,150000,346816.22,231.21,520.489.69
25900111,FEHIDRO - Vizinhança Verde,0,0,0,0
25900112,Fundo de Desenvolvimento Urbano - FUNDURB,0,0,0,0.00
25900113,Outorga Onerosa - Plano Diretor,160000000,4914731.87,3.07,10153562.18
25900114,Outorga Onerosa - Lei de Anistia,3347100,144173.21,4.31,276411.62
25900115,Precatórios,68109300,0,0,64545015.32
25900116,Fundo Especial de Despesas da Câmara Municipal de São Paulo,0,0,0,0
25900118,PMSP/SEMAB - Torres do Mercado Central,0,0,0,0.00
25900119,FUNPATRI,20000,0,0,0.00
25900120,FEMA - Crédito de Carbono,30000000,0,0,0
90000000,DEDUÇÕES DA RECEITA CORRENTE,-544502600,-41484009.37,7.62,-92409231.31
91000000,DEDUÇÕES DA RECETTA TRTBUTÁRIA,0,-41484009.37,0,-204688.17
91100000,DEDUÇÕES DE IMPOSTOS,0,-105871.37,0,-193785.11
91120000,DEDUÇÕES DOS IMPOSTOS S/ O  PATRIMÔNIO E RENDA,0,-43930.16,0,-95764.17
91120200,DEDUÇÕES DOS IMPOSTOS S/ A PROPRIEDADE PREDIAL E TERRITORIAL URBANA,0,0,0,0
91120201,Deduções do lmposto s/ a Propriedade Predial,0,0,0,0.00
91120202,Deduções do lmposto s/ a Propridade Territorial Urbana,0,0,0,0.00
91120400,DEDUÇÕES DO IMPOSTO S/ A RENDA E PROVENTOS DE QUALQUER NATUREZA,0,0,0,-222.34
91120431,Deduções do lmposto de Renda Retido nas Fontes S/ os  Rendimentos do Trabalho,0,0,0,0
91120433,Deduções do lmposto de Renda Retido nas Fontes s/ Remessa de Recursos ao Exterior,0,0,0,0
91120434,Deduções do lmposto de Renda Retido nas Fontes s/ Outros Rendimentos,0,0,0.00,-222.34
91120800,Deduções do Imposto de Renda Retido na Fontes S/ Transmissão Inter-Vivos de Bens Imóveis e de Direitos Reais S/ Imóveis ITBI-IV,0,-43930.16,0,-95541.63
91130000,DEDUÇÕES DO IMPOSTO S/ A PRODUÇÃO E A CIRCULAÇÃO,0,-61941.21,0.00,-98020.94
91130500,DEDUÇÕES DO IMPOSTO S/ SERVIÇOS DE OUALQUER NATUREZA,0,-61.941.21,0,-98.020.94
91130501,Deduções ISS,0,-61941.21,0.00,-98.020.95
91130502,Deduções do ISS - Sistema Integrado - SIMPLES,0,0,0.00,0
91130503,Deduções do ISS - CMSP,0,0,0,0
91130700,Deduções do lmposto s/ a Venda a Varejo de Combustíveis Liquidos e Gasosos-IVV,0,0,0,0
91200000,DEDUÇÕES DE TAXAS,0,-9.880.32,0,-10903.06
91210000,DEDUÇÕES DE TAXAS PELO EXERCICÍO DO PODER DE POLÍCIA,0,-6.795.01,0,-7817.75
91212500,"DEDUÇÕES DE TAXA DE LICENÇA p/ FUNCIONAMENTO DE ESTABELECIMENTOS COMERCIAIS, INDUSTRIAIS E PRESTADORA DE SERVIÇOS",0,-5533.46,0,-6556.2
91212501,"Dedução da Taxa de Licença p/Localização,Instalação e Funcionamento",0,0,0,0.00
91212502,Deduções da Taxa de Vistoria de Normas de Segurança,"o,oo",0,0,0
91212503,Deduções da Taxa de Fiscalização de Estabelecimentos - TFE,0,-5533.46,0.00,-6556.2
91212800,DEDUÇÕES DA TAXA DE PUBLÍCIDADE COMERCIAL,0,-789.89,0,-789.89
91212801,Deduções da Taxa de Fiscalização de Anúncios,0,-789.89,0.00,".789,89"
91213200,DEDUÇÕES DA TAXA DE APROVAÇÃO DO PROJETO DE CONSTRUÇÃO CÍVIL,0,-471.66,"0,D0",-471.66
91213201,Deduções da Taxa p/ Exarne e Verificação de Projetos e Contruções,0,-471.66,0,-471.66
91213400,DEDUÇÕES DA TAXA DE FISCALIZAÇÃO DE APARELHOS DE TRANSPORTE,0,0,0,0
91213401,Deduções da Taxa de Vistoria de Aparelhos  de Transporte Vertical e Horizontal,0,0,0,0.00
91219900,DEDUÇÕES DE OUTRAS TAXAS p/ EXERCICÍO DO PODER DE POLÍCIA,0,0,0,0
91219901,Deduções da Taxa de Licença p/ Tráfego de Veículos,0,0,0,0
91219902,Deduções da Taxa de Licença p/ Arruamentos e Loteamentos,0,0,0.00,0
91219903,Desuções da Taxa de Fiscalização dos Serviços de Limpeza Urbana - FISLURB,0.00,0,0,0
91219904,Dedução da Taxa de Remoção - CET,0,0,0,0.00
91220000,DEDUÇÕES DE TAXAS PELA PRESTAÇÃODE SERVIÇOS,0,-3086.31,0,-3085.31
91229000,DEDUÇÕES DA TAXA DE LIMPEZA PÚBLICA,0,-3085.31,0,-3085.31
91229001,Deduções da Taxa de Limpeza Pública,0,0,0,0
91229002,Deduções da Taxa de Resíduos Sólidos Domicilares - TRSD,0,-3085.31,0,-3085.31
91229003,Deduções da Taxa de Resíduos Sólidos de Serviços de Saúde TRSS,0,0,0,0.00
91229900,DEDUÇÕES DE OUTRAS TAXAS PELA PRESTAÇÃO DE SERVIÇOS,0,0,0,0
91229901,Deduções daTaxa de Conservação de Vias e  locadouros Públicos,0,0,0,0
91229902,Deduções da Taxa de Estudos p/ Fixação de Diretrizes,0,0,0,0
91229903,Deduções da Taxa de Combate a Sinistros,0,0,0,0.00
91300000,DEDUÇÕES DA CONTRIBUIÇÃO DE MELHORIA,0,0,0,0
91300001,Deduções da Contribuição de Melhoria,0,0,0,0
93000000,DEDUÇÕES DA RECEITA PATRIMONIAL,0,-21467.31,0,-22329.48
93200000,DEDUÇÕES DAS RECEITAS DE VALORES MOBILIARIOS,0,-21467.37,0,-22329.48
93250000,DEDUÇÕES DA REMUNERAÇÃO DE DEPÓSITOS BANCÁRIOS,0,0,0.00,0
93250100,DEDUÇÕES DA REMUNERAÇÃO DE DEPÓSITOS DE RECURSOS VINCULADOS,0,0.00,0,0
93250103,Deduções da Receita de Remuneração da Depósitos Bancários de Recursos Vinculados - Fundo de Saúde (SMS/FMS),0.00,0,0,0
93260000,DEDUÇÕES DA REMUNERAÇÃO DE DEPÓSITOS ESPECIAIS,0,0,0,0
93260002,Dedução do Convênio PMSP/SOTS - PlanTeQ/2004 - FAT,0,0,0,0.00
93260003,Deduções do Convênio MTE/SPPE/CODEFAT,0,0,0,0.00
93290000,DEDUÇÕES DOS FUNDOS DE INVESTIMENTO,0,-21467.37,0,-22329.48
93290100,DEDUÇÕES DOS RJNDOS DE INVESTIMENTO - RENDA FIXA,0,-21467.37,0,-22329.48
93290101,Deduções PMSP,0,-119.66,0,".981,67"
93290106,Deduções das Operações Interligadas,0,0,0,0
93290142,Deduções do Convênio MEC/FNDE -Assistência Financeira a Programas e Projetos Educacionais,0,-2057.27,0,-2057.27
93290143,Dedução Radial Leste,0,-18141.82,0,-18141.82
93290158,Deduções do FMAS - Fundo Municipal de Assistência Social,0,-1148.72,0,-1148.72
93300000,DEDUÇÕES DAS RECEITAS DE CONCESSÕES E PERMISSÕES,0,0,0,0
93390000,DEDUÇÕES DAS OUTRAS RECEITAS DE CONCESSÕES EPERMISSÕES,0,0,0,0
93399900,DEDUÇÕES DAS OUTRAS RECEITAS DE CONCESSÕES E PERMISSÕES,0,0,0,0
93399902,"Deduções das Rendas de Mercados, Feiras e Frigorificos (ant.Mat.)- Sistema Novo",0,0,0,0
93900000,DEDUÇÕES DE OUTRAS RECEITAS PATRIMONIAIS,0,0,0,0
93900100,DEDUÇÕES DAS REMUNERAÇÕES DE RECEITAS,0,0,0,0
93900101,Deduções de Remunerações Diversas,0.00,0,0,0
96000000,DEDUÇÕES DE RECEITAS DE SERVIÇOS,0,-10,0,-10
96001300,DEDUÇÕES DE SERVIÇOS ADMINISTRATIVOS,0,-10,0.00,-10
96001308,Deduções de Serviços de Expedientes,0.00,0.00,0,0
96001312,Deduções de Remoção  e Estadia-DSV,0,0,0,0
96001314,Deduções de Autuação de Processos - G. A. 99-T,0,-10.00,0,-10
96001318,Deduçães de Serviços deTransporte do DTP,0,0,0,0
96001320,Deduções do Terno de Permissão de Uso - TPU,0,0,0,0
96001324,Deduções de Panfletagem - Programas Sociais - PMSP,0,0,0.00,0
96004300,DEDUÇÕES DOS SERVIÇOS DE COLETA. TRANSPORTE.TRATAMENTO E DESTINO FINAL DE RESÍDUOS SÓLIDOS,0,0,0,0
96004301,Deduções da Coleta de Resíduos Sólidos - Saúde- LIMPURB,0,0,0,0.00
97000000,DEDUÇÕES DE TRANSPERÊNCIAS CORRENTES,-544.502.600.00,-41334671.65,7.59,-92.169.351.20
97200000,DEDUÇÕES DE TRANSFERÉNCIAS INTERGOVERNAMENTAIS,-544502600,-41334671.65,7.59,-92169251.2
97210000,DEDUÇÕES DE TRASFERÊNCIAS DA UNIÃO,-22371300,-1485676.24,6.52,-2897665.31
97210100,DEDUÇÃO DAS RECEITAS DE TRANSFERÉNCIAS DA UNIÃO,-17384100,"-1.48S.676,24",8.55,-2897865.31
97210102,Dedução de Receita do FPM-FUNDEB e Redutor Financeiro (corresp.1721.01.02 cota parte doFPM),"-17.3S4.100,00",-1485676.24,8.55,-2897665.31
97210105,Dedução da Receita para a Formação do FUNDEB- ITR (corresp.1721.01.05 cota parte ITR),0,0,0,0
97213600,Dedução de Receita para Formação do FUNDEB - ICMS Desoneração - Lei Complementar 87/96 (corresp. 1721.36.00 Transf.Financ. ICMS Desoneração),-5357200,0,0.00,0.00
97220000,DEDUÇÕES DE TRANSFERÊNCIAS DO ESTADO,-521731300,-39848995.41,7.64,89271685.89
97220100,DEDUÇÃO DAS RECEITAS DE TRANSFERÊNCIA DOS ESTADOS,-521731300,-39848995.41,7.64,-89.271.685.89
97220101,"Dedução de Receita para a Formação do FUNDEB-ICMS(corresp, 1722.01.01 cota parte ICMS",-516854800,-39441473.81,7.63,88300511.91
97220102,Dedução de Receita para a Formação do FUNDEB - IPVA (corresp.1722.01.02 cota parte do IPVA - mais Dedução para Averbação),0,0,0.00,0
97220104,Dedução de Receita para a Formação do FUNDEB - IPI - Exportação corresp.1722.01 .04 cota parte do IPI),-4876500,-407521.6,8.36,971173.98
97600000,DEDUÇÕES DAS TRANSFERtNCIAS DE CONVÉNIOS,0,0,0,0.00
97610000,DEDUÇÕES DAS TRANSFERÉNCIAS DE CONVÊNIOS DA UNIÃO E DE SUAS ENTIDADES,0,0,0,0.00
97610300,DEDUÇÕES DAS TRANSFERÊNCIAS DE CONVÊNIOS DA UNIÃO DESTINADAS A PROGRAMAS DE ASSISTÊNCIA SOCIAL,0,0,0,0
97610301,Deduções PMSP/SAS/FMAS,0,0,0,0
99000000,DEDUÇÕES DE OUTRAS RECEITAS CORRENTES,0,-12108.66,0,-13352.46
99100000,DEDUÇÕES DE MULTAS E JUROS DE MORA,0,-9.400.78,0,-10.644.58
99190000,DEDUÇÕES DE MULTAS DE OUTRAS ORIGENS,0,-9400.78,0.00,-10.644.58
99191500,DEDUÇÕES DE MULTAS PREVISTAS NA LEGISLAÇÃO DE TRÂNSITO,0,-8391.77,0.00,-9635.57
99191501,Deduções de Multas de Trânsito-DSV ,0,-8391.77,0,-9.635.57
99192700,DEDUÇÕES DAS MULTAS E JUROS PREVISTOS EM CONTRATOS,0,0,0.00,0.00
99192702,Deduções das Multas e Juros/Contratos PMSP,0,0,0,0.00
99199900,DEDUÇÕES DAS OUTRAS MULTAS,0,-1009.01,0.00,-1.009.01
99199901,Deduções de Multas e  Juros Diversos - PMSP,0,-1009.01,0.00,-1009.01
99200000,DEDUÇÕES DE INDENIZAÇÕES E RESTITUIÇÕES,0,0,0,0
99220000,DEDUÇÕES DE RESTITUIÇÕES,0.00,0,0,0
99229900,DEDUÇÕES DE OUTRAS RESTITUIÇÕES,0.00,0,0,0
99229901,Deduções de Restituições Diversas,0,0,0,0
90300000,DEDUÇÕES DA RECEITA DA DÍVIDA ATIVA,0,-38.18,0,38.18
99310000,DEDUÇÕES DA RECEITA DA DÍVIDA ATIVA TRIBUTÁRIA,0,-38.18,0,38.18
99319900,DEDUÇÕES DA RECEITA DA DÍVIDA ATIVA DE OUTROS TRIBUTOS,0.00,-38.18,0.00,-38.18
99319903,Deduções de FISC,0,-38.18,0,-38.18
99900000,DEDUÇÕES DAS RECEITAS DIVERSAS,0.00,-2669.7,0,-2669.7
99900100,DEDUÇÕES DE RECEITA DO PROGRAMA DE RECUPERAÇÃO FISCAL E DO PARCELAMENTO ESPECIAL - OUTRAS RECEITAS,0.00,0.00,0.00,0.00
99900101,Deduções do REFIS,0.00,0,0,0.00
99900200,DEDUÇÕES DA RECEITA DE ÕNUS DE SUCUMBÊNCIA DE AÇÕES JUDICIAIS,0.00,0,0,0
99000201,Deduções da Receita de Honorários de Advogados,0.00,0.00,0.00,0.00
99909900,DEDUÇÕES DE OUTRAS RECEITAS,0,-2669.7,0.00,-2669.7
99909904,Deduções de Tarifa Bancária,0,0,0,0
99900922,Deduções de Eventuais Diversos-PMSP,0,-2669.7,0,-2.669.70
99900923,Deduções dos Leilões - DSV/SPTRANS/CET,0,0.00,0,0
